"FCDATOBENEFIC","FNREGISTROS","FNTOTAL","FITIPODATO"
"SANCHEZ ALMAZAN",3,147784,2
"ROCHA GARCIA",2,147784,2
"PALACIOS SALINAS",2,147784,2
"RIOS SILVA",2,147784,2
"CERON PEREA",2,147784,2
"NAVA LOPEZ",4,147784,2
"RODRIGUEZ SUAREZ",4,147784,2
"SILVESTRE CERDA",2,147784,2
"GALAN MARTINEZ",2,147784,2
"BERMUDEZ DURAN",2,147784,2
"ZARATE JIMENEZ",4,147784,2
"DE SANTIAGO MACEDO",2,147784,2
"NICOLAS CORREA",2,147784,2
"MEDINA GABRIEL",4,147784,2
"SOTO MORALES",4,147784,2
"ARDON FLORES",4,147784,2
"RIVERA ROMO",2,147784,2
"DEL CASTILLO IBARRA",2,147784,2
"CRUZ MORALES",12,147784,2
"MAGANDA RAMOS",2,147784,2
"IBARRA CASTILLO",2,147784,2
"CARRILLO LARA",4,147784,2
"VENTURA RENDON",2,147784,2
"PIÑON RAZO",4,147784,2
"CASTREJON AGUILAR",2,147784,2
"GARCIA RESENDIZ",6,147784,2
"DAMIAN ARAIZA",2,147784,2
"VILLARREAL VILLALOBOS",2,147784,2
"CHAGOYA LORENZO",2,147784,2
"YAÑEZ DIAZ",6,147784,2
"MARQUEZ NUÑEZ",2,147784,2
"CONSTANTINO HERNANDEZ",2,147784,2
"GUTIERREZ VARONA",2,147784,2
"FLORES ARMENTA",4,147784,2
"RADA BALDENEGRO",2,147784,2
"PALACIOS CAMACHO",7,147784,2
"DE LEON CABALLERO",2,147784,2
"MEDINA CUELLAR",8,147784,2
"OLVERA GOMEZ",2,147784,2
"JERONIMO CORIA",2,147784,2
"SANCHEZ SANTA ROSA",5,147784,2
"VALENZUELA SANCHEZ",2,147784,2
"COBIAN DIAZ",2,147784,2
"SERRANO REYES",4,147784,2
"COTO CAJICA",2,147784,2
"CARRERA VERA",2,147784,2
"RIOS JAIMES",2,147784,2
"MARIN DIAZ",2,147784,2
"MONJARAZ ANGUIANO",2,147784,2
"GONZALEZ LLANAS",4,147784,2
"GONZALEZ MACIAS",2,147784,2
"MIRANDA VALDEZ",2,147784,2
"ESPINOZA VELAZQUEZ",2,147784,2
"GARCIA BENITEZ",6,147784,2
"MADERA ACEVEDO",2,147784,2
"DELGADILLO ARELLANO",2,147784,2
"QUEZADA ORTEGA",2,147784,2
"ALMANZA BARUCH",2,147784,2
"SICILIA GALINDO",2,147784,2
"TORREBLANCA PEREZ",2,147784,2
"ELVIRA CHAVEZ",2,147784,2
"RODRIGUEZ LOBATON",2,147784,2
"TALAVERA MATA",2,147784,2
"SANCHEZ MENDEZ",12,147784,2
"RENDON LEON",3,147784,2
"BARCENA GARRIDO",2,147784,2
"SARABIA TIRADO",2,147784,2
"ARAMBURO LOPEZ",2,147784,2
"MADRIGAL ROMERO",2,147784,2
"GONZALEZ VANEGAS",2,147784,2
"VARGAS ZARAGOZA",2,147784,2
"MARIN REYES",4,147784,2
"CENTENO COSTILLA",4,147784,2
"BECERRIL GUZMAN",2,147784,2
"LOPEZ PALESTINA",2,147784,2
"CARRASCO CRUZ",2,147784,2
"SIERRA FUENTES",1,147784,2
"PEREZ ALVAREZ",10,147784,2
"GUERRERO BUENO",6,147784,2
"SANTAMARIA AVILA",2,147784,2
"ROMANO VALERA",2,147784,2
"MANUEL LEON",2,147784,2
"HERNANDEZ GUILLEN",5,147784,2
"TELLEZ CRUZ",2,147784,2
"BARRAGAN HERRERA",2,147784,2
"SOTELO SAENZ",2,147784,2
"MARTINEZ SALIDO",4,147784,2
"VEGA AMBRIZ",2,147784,2
"MALAGON ROSILES",2,147784,2
"PEREZ SALAZAR",6,147784,2
"CAMPOS FLORES",4,147784,2
"BUSTOS GONZALEZ",2,147784,2
"DELGADO VILLAFUERTE",4,147784,2
"SILVAR MARCOS",2,147784,2
"HERNANDEZ LUIS",2,147784,2
"OROZA ORTEGA",12,147784,2
"ALBORES GUTIERREZ",4,147784,2
"LEZAMA TRINIDAD",2,147784,2
"AGUILAR JONAPA",1,147784,2
"BARRIENTOS GARCIA",2,147784,2
"CERDA SANCHEZ",3,147784,2
"LOPEZ PUENTE",2,147784,2
"GRACIA JASSO",2,147784,2
"FIMBRES MARTINEZ",2,147784,2
"BUENROSTRO RODRIGUEZ",2,147784,2
"QUEZADA ALVAREZ",4,147784,2
"MORAZ CARREON",2,147784,2
"MATAMOROS FLORES",2,147784,2
"CALDERON HURTADO",2,147784,2
"ALCALA DE LEON",4,147784,2
"NUNEZ RODRIGUEZ",2,147784,2
"SANTIAGO BENITEZ",2,147784,2
"MIRANDA ROMERO",4,147784,2
"MENDOZA CARRANZA",6,147784,2
"FELIX CASTILLON",2,147784,2
"SUSTAITA ALEMAN",4,147784,2
"FLORES CORREA",2,147784,2
"LEDEZMA LOPEZ",2,147784,2
"MENDOZA PALOMARES",2,147784,2
"NAVARRETE SANCHEZ",10,147784,2
"MORALES AYALA",6,147784,2
"FLORES MADRIGAL",2,147784,2
"AZCUE GUTIERREZ",4,147784,2
"GARCIA RAMON",2,147784,2
"CARMONA CASIMIRO",2,147784,2
"CAMARGO RAMIREZ",2,147784,2
"CORNEJO VEGA",4,147784,2
"DOMINGUEZ MONTEJANO",2,147784,2
"GAMEZ PIÑA",1,147784,2
"HERNANDEZ CEJA",8,147784,2
"MANRIQUEZ VAZQUEZ",2,147784,2
"CAMPOS PAVON",2,147784,2
"DEL ANGEL MAR",2,147784,2
"DURON BRIONES",2,147784,2
"MARTINEZ LEON",9,147784,2
"MORALES BARROSO",2,147784,2
"SILVERIO RANGEL",2,147784,2
"BALTAZAR TORRES",2,147784,2
"ESTRADA RICO",4,147784,2
"PELAEZ DIAZ",4,147784,2
"ANTONIO TORIBIO",6,147784,2
"VAZQUEZ QUIRIZ",6,147784,2
"LOERA ARECHIGA",2,147784,2
"DE LARA SOTO",4,147784,2
"GAYTAN ESCARE O",2,147784,2
"RIOS GAONA",4,147784,2
"NUÑEZ ACUÑA",2,147784,2
"LOPEZ TOVAR",7,147784,2
"ALARCON ZUÑIGA",2,147784,2
"LOPEZ ESQUIVEL",6,147784,2
"ROMERO PIMIENTA",2,147784,2
"ARMAS HERNANDEZ",3,147784,2
"SANDOVAL COBOS",5,147784,2
"RAMIREZ PAZ",6,147784,2
"MONROY PORTILLO",2,147784,2
"MARTINEZ OCHOA",16,147784,2
"DUARTE ORTIZ",5,147784,2
"GODINEZ VAZQUEZ",4,147784,2
"AVITIA MEDINA",2,147784,2
"APOLONIO JUAREZ",2,147784,2
"SERRANO PEREZ",6,147784,2
"LOPEZ JERONIMO",2,147784,2
"ORTIZ CRUZ",18,147784,2
"ANTUNEZ CORRALES",4,147784,2
"ROBLEDO CAJERO",6,147784,2
"REYES CHAVEZ",10,147784,2
"ESTRADA RODRIGUEZ",7,147784,2
"ONATE AYALA",2,147784,2
"DE LA CRUZ HERNANDEZ",7,147784,2
"IBARRA SALAS",2,147784,2
" CARRO",4,147784,2
"VIRAMONTES GARCIA",4,147784,2
"ARZOLA SANTILLAN",2,147784,2
"CRISTOBAL TOSCANO",2,147784,2
"PEREZ AYALA",2,147784,2
"CONTRERAS MONREAL",2,147784,2
"DOMINGUEZ CARBAJAL",2,147784,2
"ORTEGA ARROYO",4,147784,2
"BETANCOURT MANCILLAS",2,147784,2
"BONILLA LEON",4,147784,2
"CAMBEROS HERNANDEZ",4,147784,2
"MENDOZA QUIJANO",2,147784,2
"BRAVO GUZMAN",4,147784,2
"OLVERA ORTIZ",4,147784,2
"TINO GONZALEZ",2,147784,2
"MARIN MUÑOZ",10,147784,2
"GRIMALDO GUTIERREZ",6,147784,2
"LOPEZ BRITO",2,147784,2
"SANCHEZ DUARTE",5,147784,2
"VALDEZ CANELA",4,147784,2
"SANCHEZ TINAJERO",4,147784,2
"CALIZ NUÑEZ",4,147784,2
"NOLASCO GARCIA",2,147784,2
"DORANTES LEYVA",2,147784,2
"ORTIZ GERARDO",4,147784,2
"RAYA ROBLES",2,147784,2
"BALLESTEROS TELLEZ",3,147784,2
"MOLINA TAPIA",2,147784,2
"ZEPEDA AVALOS",2,147784,2
"CASTAÑEDA SALAMANCA",4,147784,2
"FIERRO ARAGON",4,147784,2
"GRIMALDO JUAREZ",4,147784,2
"CENTENO GARFIAS",2,147784,2
"MATA CONTRERAS",2,147784,2
"HEREBIA SANCHEZ",2,147784,2
"CASTELAN ZUÑIGA",2,147784,2
"HERNANDEZ SANTIAGO",26,147784,2
"CRISTOBAL DELGADO",2,147784,2
"ARMAS CARRILLO",2,147784,2
"RIVERA VERA",6,147784,2
"NEGRETE BAUTISTA",2,147784,2
"ZAPOTE JIMENEZ",2,147784,2
"GONZALEZ CANTERO",2,147784,2
"BASTIDA ROJAS",2,147784,2
"HERNANDEZ MALDONADO",4,147784,2
"PRADO ANGELES",2,147784,2
"MAGAÑA QUINTERO",2,147784,2
"PATLAN VALDEZ",2,147784,2
"ZEQUINEL RAMIREZ",2,147784,2
"ORTIZ DEOLARTE",4,147784,2
"OROPEZA GUZMAN",2,147784,2
"OLIVERA SOSA",4,147784,2
"GERMAN ROMAN",2,147784,2
"DE LOS SANTOS CRUZ",2,147784,2
"RODRIGUEZ NEVAREZ",4,147784,2
"CANO XIMELLO",4,147784,2
"JIMENEZ ",2,147784,2
"SOLANA GUENDULAYN",2,147784,2
"CARRERA CEBALLOS",4,147784,2
"CABRERA HERNANDEZ",14,147784,2
"HERRERA TEODOCIO",2,147784,2
"GONZALEZ GRANILLO",2,147784,2
"VILLARREAL CAMPOS",2,147784,2
"SERRANO ACEVEDO",2,147784,2
"JULIO FELIPE",2,147784,2
"PORTILLO AVILA",2,147784,2
"CAMACHO CATARINO",2,147784,2
"GOMEZ LEYVA",2,147784,2
"DE ANDA SANCHEZ",2,147784,2
"RESENDIZ PADILLA",4,147784,2
"PEÑA MORALES",4,147784,2
"CORTEZ MAYO",2,147784,2
"MORENO IZQUIERDO",3,147784,2
"AGUIRRE CASTILLO",4,147784,2
"TORRES MENDOZA",8,147784,2
"RUIZ ITURBIDE",2,147784,2
"GARCIA ARTEAGA",2,147784,2
"CASTELLON ALARCON",3,147784,2
"ALVAREZ GOMEZ",8,147784,2
"CRUZ VALLADARES",2,147784,2
"REBOLLO MONROY",2,147784,2
"VAZQUEZ ALDANA",2,147784,2
"GARCIA CABELLO",2,147784,2
"PRIANTI TREJO",2,147784,2
"HERNANDEZ FERREYRA",2,147784,2
"MUÑIZ YAÑEZ",2,147784,2
"GALINDO GONZALEZ",6,147784,2
"MAURICIO GONZALEZ",2,147784,2
"DELPINO ARANDIA",2,147784,2
"PEREZ REVOLORIO",6,147784,2
"SALAZAR MONTERRUBIO",2,147784,2
"NAVARRETE CARROLA",2,147784,2
"ROLDAN CRUZ",2,147784,2
"LAGUNA HERNANDEZ",2,147784,2
"ESQUIVEL ESPINOZA",2,147784,2
"AGUILERA MUÑOZ",2,147784,2
"CISNEROS BAHENA",2,147784,2
"FLORES DE LA CRUZ",4,147784,2
"AREBALO LEYVA",2,147784,2
"ORTIZ GUILLEMIN",2,147784,2
"SOLIS BANDERA",2,147784,2
"DEL VALLE SILVERIO",2,147784,2
"ALARCON VILLEGAS",4,147784,2
"IBARRA VILLALON",2,147784,2
"ALANIS TREJO",2,147784,2
"HERNADEZ LOPEZ",2,147784,2
"RUIZ BENITO",2,147784,2
"INFANTE HERNANDEZ",4,147784,2
"SANDOVAL CUEVAS",2,147784,2
"QUEVEDO ZARATE",2,147784,2
"FERNANDEZ VASQUEZ",2,147784,2
"MARTINEZ CARABEZ",2,147784,2
"CUMPLIDO NAJERA",2,147784,2
"VICENTE MARTINEZ",2,147784,2
"COUTIÑO SANTOS",4,147784,2
"VAZQUEZ OLMOS",2,147784,2
"VELAZQUEZ OGAZ",2,147784,2
"CARMONA AGUADO",2,147784,2
"BALBUENA CASTILLO",2,147784,2
"GARCIA AYALA",8,147784,2
"CAMARILLO MORENO",3,147784,2
"ZACATENCO BONILLA",2,147784,2
"CASTAÑEDA AGUILAR",2,147784,2
"MENDIETA ALVIZO",3,147784,2
"CRUZ VACA",4,147784,2
"SOPERANES RIVERA",2,147784,2
"CUETO CERVANTES",2,147784,2
"RODRIGUEZ FISCAL",2,147784,2
"VILCHEZ MUNGUIA",2,147784,2
"AGUILUZ PELAGIO",2,147784,2
"CANIZAL CASTRO",4,147784,2
"SALAZAR LEIVA",2,147784,2
"MUNGUIA SANCHEZ",2,147784,2
"LOPEZ ESCAMILLA",4,147784,2
"MONDRAGON SALVADOR",2,147784,2
"FALLAD VELAZQUEZ",2,147784,2
"HIGUELDO MARTINEZ",3,147784,2
"GARCIA RAMI REZ",4,147784,2
"PEREZ POUCHOULEN",2,147784,2
"CARRILLO COMPEAN",2,147784,2
"CARPIO HERNANDEZ",4,147784,2
"GALINDO QUIROZ",2,147784,2
"GARCIA CANDELA",2,147784,2
"POLITO BELLO",2,147784,2
"CABANAS GUERRERO",4,147784,2
"LICONA AGUILAR",2,147784,2
"OSALDE CHIN",2,147784,2
"MARQUEZ CARPINTERO",2,147784,2
"OLIVA SANTIN",2,147784,2
"SANCHEZ MOLINA",2,147784,2
"AQUINO CABALLERO",2,147784,2
"CASTAÑEDA ALVARADO",4,147784,2
"AGUILAR CARRIZALES",4,147784,2
"DIAZ YAÑEZ",2,147784,2
"COSTILLA RAMOS",5,147784,2
"CARRILLO BRAVO",2,147784,2
"BRIVIESCA NAVARRETE",4,147784,2
"PRUDENCIO ALCANTARA",2,147784,2
"CHAVEZ MAYO",2,147784,2
"RODRIGUEZ CABAÑAS",2,147784,2
"VERDUGO ZACARIAS",2,147784,2
"NEGRETE SOTELO",2,147784,2
"MORENO LARA",6,147784,2
"MARIANO MARCELINO",2,147784,2
"CASTRO URRUTIA",2,147784,2
"LEAL ROMERO",2,147784,2
"AGUIRRE AGUILAR",6,147784,2
"ANDRADE ROMERO",2,147784,2
"ALCANTARA LEMUS",2,147784,2
"AVILA MORALES",1,147784,2
"ALAMIRRA PACHECO",2,147784,2
"CASASOLA EVARISTO",2,147784,2
"MORALEZ LOPEZ",2,147784,2
"JUAREZ MONTES",4,147784,2
"CABRERA CANTO",2,147784,2
"LOPEZ ALANIS",2,147784,2
"VAZQUEZ AVILA",6,147784,2
"PEREZ ACEVEDO",2,147784,2
"LEON GUEVARA",4,147784,2
"ALDRETE NUNEZ",2,147784,2
"CHAVERO RAMIREZ",11,147784,2
"ALVAREZ LAGUNAS",2,147784,2
"ESQUIVEL ARCE",4,147784,2
"SERAFIN GONZALEZ",2,147784,2
"AGUILAR GALVEZ",6,147784,2
"CUEVAS CASTILLO",4,147784,2
"CRUZ FRIAS",4,147784,2
"CUEVAS PACHECO",6,147784,2
"JERONIMO CASTULO",2,147784,2
"RAMOS ARREOLA",2,147784,2
"MONDRAGON GARCIA",2,147784,2
"EDUARDO EPIGMENIO",2,147784,2
"SANCHEZ VELEZ",2,147784,2
"MARIN MACIAS",2,147784,2
"TOLEDO CERVANTES",2,147784,2
"LARA ARMENDARIZ",2,147784,2
"LUNA REYES",8,147784,2
"ARMAS ROMERO",2,147784,2
"RIVERO ",2,147784,2
"FLORES CERNAS",2,147784,2
"TORRES SEBASTIAN",2,147784,2
"SALAZAR KU",2,147784,2
"LOPEZ VALDIVIA",2,147784,2
"MORALES SANTIAGO",10,147784,2
"AMBROSIO HERNANDEZ",2,147784,2
"ROJO GUERRERO",4,147784,2
"JOSE RODRIGUEZ",2,147784,2
"QUIJADA HERNANDEZ",2,147784,2
"CHAVEZ RAMOS",6,147784,2
"CARDENAS GASPAR",2,147784,2
"OROZCO ZORRAQUIN",2,147784,2
"PRADO VASQUEZ",2,147784,2
"HUERTA LOPEZ",12,147784,2
"FELICIANO CRUZ",2,147784,2
"FLORES YURIAR",2,147784,2
"PADILLA GARCIA",10,147784,2
"LEYVA ALCOSER",3,147784,2
"DOMINGUEZ VAZQUEZ",2,147784,2
"URIBE LUNA",3,147784,2
"OROZCO MALDONADO",5,147784,2
"ROBLERO DIAZ",2,147784,2
"SAUCEDO ROJAS",6,147784,2
"GONZALEZ TOVAR",8,147784,2
"DELGADO GALLARDO",2,147784,2
"ROJO GONZALEZ",2,147784,2
"LIBRADO CARRILLO",2,147784,2
"LAGUNAS GUADARRAMA",2,147784,2
"APARICIO DE LOS SANTOS",2,147784,2
"ROMAN TERAN",2,147784,2
"CUAUHTZIHUA ZAVALETA",4,147784,2
"TORISES POLO",2,147784,2
"LUEVANO GALAVIZ",2,147784,2
"ZAVALA CARRILLO",2,147784,2
"AGUIRRE DE LA CRUZ",2,147784,2
"ROGEL MARTINEZ",2,147784,2
"SAUCEDO CALVO",2,147784,2
"VAZQUEZ MERINO",2,147784,2
"SALAZAR ROSALES",2,147784,2
"ROMERO ROJO",2,147784,2
"ARROYO HERRERA",2,147784,2
"HERRERA VIDAL",2,147784,2
"CARRILLO JAIMES",2,147784,2
"RODRIGUEZ SILVERIO",2,147784,2
"CASTAÑEDA TERAN",2,147784,2
"BALDERAS ORTIZ",2,147784,2
"SANTANA BLANCO",2,147784,2
"CASIANO GARCIA",3,147784,2
"LOPEZ BRAVO",4,147784,2
"ARZATE RIOS",2,147784,2
"MIJANGOS MARURI",3,147784,2
"MONTOYA TELLEZ",4,147784,2
"ZAVALA MORENO",2,147784,2
"RUIZ JUAREZ",2,147784,2
"ROMERO SANTANA",2,147784,2
"GONZALEZ GALVAN",12,147784,2
"ROJAS LORENZES",2,147784,2
"LOZADA RAMOS",2,147784,2
"FIGUEROA AVILA",2,147784,2
"AGATON GALVEZ",2,147784,2
"RAYO YAÑEZ",4,147784,2
"VALDEZ NAVIDAD",2,147784,2
"CRUZ TAMEZ",2,147784,2
"VAZQUEZ TREJO",4,147784,2
"GRANADOS GONZALEZ",6,147784,2
"MARQUEZ ESCRIBANO",2,147784,2
"MARTINEZ MANZANARES",4,147784,2
"ALTO JUAREZ",3,147784,2
"PALOMEQUE MORALES",2,147784,2
"SANCHEZ CEDILLO",2,147784,2
"AZPEITIA RODRIGUEZ",3,147784,2
"ACUÑA ALVAREZ",2,147784,2
"JAIME MASCORRO",2,147784,2
"DIAZ DE LEON ARANA",2,147784,2
"ANDRADE NIETO",2,147784,2
"CARDENAS CABRERA",2,147784,2
"CORTES CALDERON",2,147784,2
"MOJICA GONZALEZ",2,147784,2
"LOPEZ ESTRELLA",2,147784,2
"DURAN MORALES",15,147784,2
"LIMON TORRES",4,147784,2
"GUEVARA PACHECO",2,147784,2
"GARCIA MERCADO",5,147784,2
"URBINA BRISEÑO",2,147784,2
"VARGAS GONZALEZ",12,147784,2
"RIVERA ACUÑA",4,147784,2
"ZAMUDIO CHAVEZ",4,147784,2
"LEE REYES",2,147784,2
"CARRILLO GARCIA",10,147784,2
"MAURICIO ASCENCIO",2,147784,2
"VALDEZ PALMA",2,147784,2
"LIRA HERNANDEZ",2,147784,2
"PEREZ DE JESUS",3,147784,2
"ACEVEDO GONZALEZ",2,147784,2
"MAYA NAVARRO",2,147784,2
"REMIGIO PEREZ",4,147784,2
"GARCIA DELGADO",6,147784,2
"LIRA CHACON",2,147784,2
"LACHICA CORRALES",2,147784,2
"SANJUAN DOMINGUEZ",2,147784,2
"ESTEBES SANDOVAL",2,147784,2
"MARTINEZ JULIAN",2,147784,2
"GUTIERREZ SAUCEDO",2,147784,2
"MONDRAGON CHAVEZ",4,147784,2
"RODRIGUEZ SANTILLAN",4,147784,2
"ROCHA RAMIREZ",2,147784,2
"RODRIGUEZ BUCIO",2,147784,2
"LANDIN GARCIA",2,147784,2
"OLMOS AMBROSIO",2,147784,2
"SILVAN LEON",2,147784,2
"OCOTE AREVALO",2,147784,2
"NAVARRETE REFUGIO",2,147784,2
"ORGANES RODRIGUEZ",2,147784,2
"RUIZ QUINTANA",2,147784,2
"CASTILLO GIL",4,147784,2
"VILLAGRANA ",2,147784,2
"OLIVO CORTES",2,147784,2
"GONZALEZ CAMARENA",2,147784,2
"GOROSTIETA MENDOZA",2,147784,2
"VAZQUEZ MIRANDA",10,147784,2
"MARQUEZ TORIZ",2,147784,2
"HURTADO PACHECO",5,147784,2
"MARTINEZ SALDES",2,147784,2
"CONTRERAS MARCOS",3,147784,2
"LOMELI ",4,147784,2
"MANDUJANO AVILA",2,147784,2
"CARRANZA VEGA",2,147784,2
"CHIMAL PACHECO",2,147784,2
"ABELINO PEREZ",2,147784,2
"MORENO JAIME",2,147784,2
"AGUILAR APOLINAR",2,147784,2
"SEPULVEDA ENRIQUEZ",2,147784,2
"ABRIL DUARTE",2,147784,2
"SANTIBAÑEZ DELGADO",4,147784,2
"AMADOR TOVAR",2,147784,2
"PENALOZA BERNAL",2,147784,2
"BELLO TOMAS",2,147784,2
"ROSALES ROJAS",7,147784,2
"PADILLA RODRIGUEZ",2,147784,2
"ORIZABA SALGADO",2,147784,2
"GALVAN ESTRADA",3,147784,2
"ALVARENGA ARIETA",3,147784,2
"AGUILAR ESTRADA",2,147784,2
"ORBE VELEZ",4,147784,2
"MENA FLORES",2,147784,2
"XICOTENCATL MALDONADO",3,147784,2
"SANCHEZ VENOSA",2,147784,2
"ARMENTA FIGUEROA",2,147784,2
"PADILLA TREJO",2,147784,2
"BARRANCO PRADO",4,147784,2
"HINOJOS ONTIVEROS",2,147784,2
"RAMIREZ MEJIA",2,147784,2
"IBARRA MARES",2,147784,2
"PEREA SANCHEZ",2,147784,2
"BARTOLON VELAZQUEZ",2,147784,2
"CASTELLANOS PEREZ",2,147784,2
"PICHARDO ESPINOZA",2,147784,2
"MORENO ZENTENO",2,147784,2
"CONTRERAS ALEVES",2,147784,2
"CUEVAS ESPINOSA",2,147784,2
"LAZARO CATALINA",2,147784,2
"SANTIBAÑEZ GOMEZ",2,147784,2
"TAGUADO ROSAS",2,147784,2
"ESTRELLA LOPEZ",2,147784,2
"GARCIA PILLADO",4,147784,2
"SANCHEZ ESTELA",2,147784,2
"OROZCO DIAZ",2,147784,2
"JIMENEZ URBANO",3,147784,2
"CARRILLO DOMINGUEZ",2,147784,2
" MONTES",2,147784,2
"GAYTAN ARIAS",2,147784,2
"DOMINGUEZ ROSADO",2,147784,2
"ALDRIGHETTI ORTEGA",1,147784,2
"GONZALEZ VICENTE",2,147784,2
"MENA HERNANDEZ",2,147784,2
"CHAGALA CHIMA",3,147784,2
"VARGAS SALAZAR",2,147784,2
"ALVAREZ ORTIZ",4,147784,2
"MORA CONTRERAS",2,147784,2
"CASTRO PIMENTEL",2,147784,2
"NEMER ARISTIGUE",6,147784,2
"CORREA ALVARADO",2,147784,2
"NIÑO SANCHEZ",2,147784,2
"AGUILLON RAMIREZ",4,147784,2
"TOCHIHUITL GOMEZ",2,147784,2
"MOCTEZUMA MEJIA",2,147784,2
"CORTE SOLIS",4,147784,2
"BARTOLO CHAMU",2,147784,2
"IBARRA AVILA",2,147784,2
"TORRES LEYVA",2,147784,2
"DOMINGUEZ NAMBO",2,147784,2
"RAMIREZ NAVARRETE",4,147784,2
"MARIN ALCOCER",2,147784,2
"FRUTIS DELGADO",2,147784,2
"LEYVA ANGULO",2,147784,2
"TOVAR CERVANTES",2,147784,2
"SALGADO PIZANO",2,147784,2
"DE LEON SANTIAGO",2,147784,2
"LAMAS MONREAL",2,147784,2
"GUZMAN RICO",4,147784,2
"MENDEZ ARRIAGA",2,147784,2
"VALENCIA PULIDO",2,147784,2
"MEZA SANCHEZ",10,147784,2
"CRISTOBAL RAMIREZ",2,147784,2
"VARONA QUESADA",2,147784,2
"QUEZADA ALFARO",2,147784,2
"JORDAN SANCHEZ",2,147784,2
"ALTAMIRANO ALONSO",9,147784,2
"ESCUDERO FELIX",2,147784,2
"ROMERO MARTIN",2,147784,2
"ZAVALA TEPOXTECO",2,147784,2
"ARANDA ANTUNEZ",2,147784,2
"JIMENEZ ABARCA",2,147784,2
"VALDIVIA GONZALEZ",2,147784,2
"MENDEZ SAN ROMAN",2,147784,2
"ZEPEDA GODINEZ",4,147784,2
"TEODORO ROMAN",2,147784,2
"GUTIERREZ OROZCO",6,147784,2
"CARRANZA CARRANZA",5,147784,2
"BOLAÑOS LEON",2,147784,2
"MALDONADO GODINEZ",6,147784,2
"MALDONADO CHOMBO",9,147784,2
"AGUILERA ROMERO",2,147784,2
"BATRES NORIEGA",2,147784,2
"DOMINGUEZ AQUINO",3,147784,2
"CAMPUSANO MARIN",2,147784,2
"CARBAJAL ALBARRAN",2,147784,2
"DOMINGUEZ LEON",2,147784,2
"POSADA GARAY",3,147784,2
"MONTES VALENCIA",2,147784,2
"CHAN UC",1,147784,2
"PARRA PEREZ",8,147784,2
"ZANABRIGA LOZENA",8,147784,2
"CASTELLANOS VALERO",2,147784,2
"JUAREZ GUERRERO",2,147784,2
"GALLARDO NAVA",2,147784,2
"OCAMPO MAYORGA",2,147784,2
"ANCHONDO BALDERRAMA",2,147784,2
"BRIONES PEÑA",2,147784,2
"GUEL QUIROZ",2,147784,2
"MENDOZA GALICIA",4,147784,2
"RAMIREZ CHAVARRIA",2,147784,2
"CARABANTES CASTILLO",2,147784,2
"CANTU AGUILAR",6,147784,2
"ESPINOZA ROMO",2,147784,2
"CASTAÑEDA TRUJILLO",4,147784,2
"MENDEZ TELLEZ",2,147784,2
"CAMACHO ESPARZA",2,147784,2
"CEJA HUERTA",2,147784,2
"TORRES VARELA",2,147784,2
"CHIA MACIAS",2,147784,2
"PEREZ ALCANTARA",4,147784,2
"PEREZ CALZADA",4,147784,2
"SERRATO CELIS",4,147784,2
"AZPEITIA MERA",2,147784,2
"ROSAS WONG",8,147784,2
"PALMA RAMIREZ",2,147784,2
"MAZON CORELLA",2,147784,2
"BARTOLO ALBELO",4,147784,2
"ORDAZ ARROYO",2,147784,2
"RENDON TAPIA",2,147784,2
"GUTIERREZ ALDUCIN",2,147784,2
"MORA VAZQUEZ",4,147784,2
"ALMAGUER DELGADO",1,147784,2
"MACIEL LUEVANOS",3,147784,2
"ZARIÑANA NAVA",4,147784,2
"MARTINEZ CASTAÑEDA",5,147784,2
"SOTO AVENDAÑO",2,147784,2
"MAHUGNOS IBARRA",2,147784,2
"MEDINA ROMERO",2,147784,2
"MALDONADO CARDENAS",2,147784,2
"PRECIADO VIELMAS",2,147784,2
"SERRANO ESPINOZA",2,147784,2
"ZARZA AGUILAR",2,147784,2
"MORENO DE LA ROSA",4,147784,2
"CHAIRES GALLEGOS",2,147784,2
"DIMAS MARTINEZ",2,147784,2
"SANTILLAN LOPEZ",4,147784,2
"MORA PORTILLA",2,147784,2
"CRISPIN RODRIGUEZ",3,147784,2
"LARIS ORNELAS",2,147784,2
"CARMONA SANTOYO",2,147784,2
"LOEZA MENDOZA",2,147784,2
"NOH RAMON",2,147784,2
"MARIN CORDOBA",2,147784,2
"PEÑA PALACIOS",2,147784,2
"FLORES ANSELMO",4,147784,2
"VALDEZ HERNANDEZ",8,147784,2
"MUÑOZ MACIAS",2,147784,2
"HERNANDEZ LARA",8,147784,2
"HILARIO ROMERO",2,147784,2
"OROPEZA GARCIA",2,147784,2
"SANTIAGO GALICIA",2,147784,2
"ALVARADO MACIEL",2,147784,2
"ANDRADE PEREZ",4,147784,2
"CORRAL ESPARZA",2,147784,2
"POLO ALVAREZ",2,147784,2
"GARCIA SEGURA",2,147784,2
"TORRES OSORIO",3,147784,2
"GOMEZ MEJIA",8,147784,2
"LAVARIEGA DURAN",2,147784,2
"LEDEZMA MARTINEZ",3,147784,2
"ORTEGA MOTA",2,147784,2
"VILLALBA MALDONADO",2,147784,2
"ARRIAGA PEREZ",2,147784,2
"ROSAS TAPIA",2,147784,2
"MEDELLIN GONZALEZ",2,147784,2
"TELLEZ MIRANDA",2,147784,2
"SALAZAR CASTILLEJA",2,147784,2
